length,misc,copies,comparisons
10,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]","[40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40]","[23, 24, 24, 26, 26, 23, 24, 18, 26, 21, 27, 16, 20, 20, 20, 24, 25, 24, 21, 24, 20, 23, 24, 25, 25, 21, 26, 20, 26, 27, 24, 20, 26, 26, 17, 26, 24, 26, 26, 23, 25, 23, 25, 25, 24, 27, 20, 23, 18, 22]"
11,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44]","[28, 29, 26, 29, 29, 25, 26, 26, 29, 25, 28, 28, 28, 26, 30, 27, 29, 29, 26, 29, 29, 28, 25, 29, 29, 24, 30, 27, 30, 28, 26, 26, 29, 27, 28, 29, 29, 26, 28, 24, 26, 24, 28, 29, 27, 30, 29, 23, 29, 29]"
12,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48]","[30, 30, 31, 32, 30, 33, 30, 29, 31, 32, 30, 31, 29, 31, 32, 32, 31, 30, 31, 32, 32, 30, 29, 31, 28, 27, 30, 32, 31, 30, 29, 31, 30, 30, 32, 30, 30, 29, 31, 30, 32, 28, 28, 32, 32, 29, 29, 31, 32, 31]"
13,"[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]","[52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52]","[35, 37, 32, 35, 34, 33, 33, 34, 32, 35, 36, 36, 35, 33, 36, 32, 36, 35, 31, 37, 36, 36, 34, 33, 37, 34, 31, 37, 36, 33, 35, 33, 31, 33, 32, 37, 30, 35, 35, 38, 36, 33, 37, 35, 37, 33, 35, 35, 33, 34]"
14,"[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]","[56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56]","[40, 37, 38, 37, 41, 37, 40, 36, 37, 39, 36, 40, 40, 36, 40, 37, 38, 39, 41, 38, 40, 37, 36, 36, 38, 38, 39, 34, 36, 35, 39, 32, 39, 38, 37, 34, 39, 37, 39, 40, 39, 34, 37, 41, 38, 38, 35, 40, 39, 38]"
15,"[15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","[60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60]","[42, 40, 43, 43, 42, 43, 44, 42, 44, 40, 44, 40, 44, 43, 44, 41, 43, 39, 40, 43, 44, 41, 41, 40, 44, 39, 39, 40, 36, 45, 44, 37, 41, 40, 43, 41, 38, 40, 41, 39, 40, 42, 41, 44, 39, 38, 44, 41, 39, 44]"
16,"[15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]","[45, 42, 45, 42, 44, 46, 43, 46, 49, 47, 42, 45, 46, 41, 46, 45, 47, 43, 48, 46, 44, 41, 48, 47, 47, 45, 45, 46, 45, 47, 47, 47, 43, 45, 45, 48, 46, 47, 48, 44, 45, 46, 44, 43, 48, 45, 48, 45, 46, 47]"
17,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102, 102]","[59, 53, 59, 50, 53, 49, 58, 48, 60, 56, 48, 53, 48, 53, 51, 61, 46, 48, 47, 48, 48, 60, 51, 55, 50, 54, 51, 63, 61, 58, 52, 47, 57, 43, 55, 61, 47, 59, 59, 45, 59, 45, 47, 51, 52, 54, 59, 52, 53, 52]"
18,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108]","[63, 55, 56, 58, 62, 59, 64, 61, 58, 63, 53, 56, 62, 59, 62, 66, 59, 58, 60, 53, 62, 59, 57, 56, 60, 51, 55, 64, 62, 56, 62, 62, 64, 63, 60, 61, 59, 59, 51, 50, 59, 65, 55, 49, 63, 58, 56, 57, 54, 62]"
19,"[21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21]","[114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114]","[55, 59, 66, 65, 59, 63, 66, 63, 59, 64, 64, 63, 67, 68, 66, 58, 58, 67, 64, 64, 63, 63, 68, 63, 68, 62, 60, 66, 64, 68, 66, 68, 64, 66, 66, 61, 60, 59, 66, 58, 65, 64, 61, 63, 62, 62, 65, 63, 62, 57]"
