length,misc,copies,cmp_mean,cmp_std
10,11,40,23.26,2.755431000769208
11,12,44,27.54,1.8023318229449314
12,12,48,30.46,1.3146862743635837
13,14,52,34.42,1.9088216260300488
14,14,56,37.78,2.0028979005431107
15,15,60,41.38,2.1530443562546497
16,15,64,45.4,1.9287301521985911
17,20,102,52.96,5.130146196747224
18,20,108,58.76,4.037623063139995
19,21,114,63.22,3.208052368649864
20,21,120,67.5,3.1827660925679098
21,23,126,71.48,3.1063805304566277
22,23,132,75.6,2.6457513110645907
23,24,138,79.08,2.431789464571306
24,24,144,83.14,2.785749450327506
25,27,150,89.86,3.747052174710141
26,27,156,94.12,2.9369371801249
27,28,162,97.98,3.1272352006205097
28,28,168,102.66,2.717425251961864
29,30,174,106.82,3.2229799875270713
30,30,180,111.6,2.814249455894058
31,31,186,116.12,2.446548589339685
32,31,192,121.36,2.5436980952935433
33,37,198,138.98,9.35625993653447
34,37,204,148.4,7.118988692223074
35,38,210,150.04,7.065295464451575
36,38,216,155.06,5.471416635570718
37,40,222,161.42,6.440776350720463
38,40,228,165.06,5.255130826154568
39,41,234,168.3,4.784349485562275
40,41,240,173.9,3.453983207834109
41,44,246,180.56,4.648268494826865
42,44,252,183.78,5.318984865554704
43,45,258,189.86,3.3645802115568593
44,45,264,192.0,4.2
45,47,270,198.54,4.486468544412186
46,47,276,201.5,4.5265881191025095
47,48,282,208.5,3.8845849199110063
48,48,288,212.08,3.9183670068027063
49,52,294,223.04,7.174844946059809
50,52,300,229.5,4.801041553663121
51,53,306,233.64,5.019003885234599
52,53,312,238.46,5.004837659704858
53,55,318,242.94,4.4873600256721105
54,55,324,248.82,3.18552978325427
55,56,330,252.88,3.121794355815258
56,56,336,258.86,3.4641593496835563
57,59,342,265.3,4.746577714522327
58,59,348,271.08,3.7408020530362203
59,60,354,276.26,4.774138665769985
60,60,360,281.76,3.7446495163099045
61,62,366,286.34,4.680213670336003
62,62,372,292.62,4.170803279945003
63,63,378,298.22,4.14386293209609
64,63,384,304.32,3.854555746126912
65,70,520,336.76,19.585259763403702
66,70,528,350.02,13.342398584962151
67,71,536,360.06,11.95058157580626
68,71,544,364.64,11.133301397159784
69,73,552,371.42,8.40973245709993
70,73,560,373.94,9.827329240439642
71,74,568,381.06,7.945841679771879
72,74,576,386.44,7.605682086440374
73,77,584,392.92,7.522871792075151
74,77,592,395.08,7.345311429748911
75,78,600,401.02,7.590757537953641
76,78,608,405.74,6.7522144515706835
77,80,616,412.44,7.313439683213365
78,80,624,416.86,6.0133518107624475
79,81,632,419.7,6.450581369148055
80,81,640,426.94,6.097245279632435
81,85,648,435.96,7.589360974416753
82,85,656,444.76,6.833915422362205
83,86,664,447.04,6.4217131670606395
84,86,672,452.7,6.9
85,88,680,458.8,5.302829433425141
86,88,688,461.2,6.0266076693277455
87,89,696,468.44,6.073417489354738
88,89,704,473.78,6.136089960227116
89,92,712,479.4,5.939696961966999
90,92,720,485.98,5.360932754661263
91,93,728,491.44,5.496034934386789
92,93,736,495.78,6.616010882699635
93,95,744,501.76,6.071441344524379
94,95,752,507.36,6.0456926815709044
