length,misc,copies,cmp_mean,cmp_std
110,111,770,615.0,0.0
121,123,847,687.0,0.0
133,138,1064,869.0,0.0
146,150,1168,921.0,0.0
160,161,1280,1014.0,0.0
176,177,1408,1123.0,0.0
193,198,1544,1225.0,0.0
212,214,1696,1403.0,0.0
233,236,1864,1547.0,0.0
256,255,2048,1719.0,0.0
281,286,2529,2088.0,0.0
309,313,2781,2268.0,0.0
339,343,3051,2501.0,0.0
372,374,3348,2754.0,0.0
409,413,3681,3114.0,0.0
449,454,4041,3432.0,0.0
493,495,4437,3798.0,0.0
542,546,5420,4606.0,0.0
596,600,5960,5021.0,0.0
655,659,6550,5508.0,0.0
720,722,7200,6033.0,0.0
792,795,7920,6819.0,0.0
871,874,8710,7499.0,0.0
958,959,9580,8315.0,0.0
1053,1059,11583,10082.0,0.0
1158,1164,12738,10944.0,0.0
1273,1277,14003,11897.0,0.0
1400,1402,15400,13095.0,0.0
1540,1546,16940,14972.0,0.0
1694,1697,18634,16290.0,0.0
1863,1867,20493,18024.0,0.0
2049,2059,24588,21386.0,0.0
2253,2259,27036,23537.0,0.0
2478,2482,29736,25632.0,0.0
2725,2731,32700,28350.0,0.0
2997,3001,35964,31222.0,0.0
3296,3298,39552,34901.0,0.0
3625,3631,43500,38794.0,0.0
3987,3991,47844,42759.0,0.0
4385,4394,57005,50455.0,0.0
4823,4828,62699,54874.0,0.0
5305,5311,68965,60623.0,0.0
5835,5840,75855,66420.0,0.0
6418,6425,83434,74649.0,0.0
7059,7064,91767,81895.0,0.0
7764,7768,100932,90859.0,0.0
8540,8546,119560,107255.0,0.0
9394,9401,131516,116814.0,0.0
10333,10340,144662,128955.0,0.0
11366,11372,159124,141258.0,0.0
12502,12508,175028,158366.0,0.0
13752,13755,192528,173289.0,0.0
15127,15132,211778,191709.0,0.0
16639,16645,249585,226942.0,0.0
18302,18306,274530,245552.0,0.0
20132,20138,301980,268866.0,0.0
22145,22154,332175,296562.0,0.0
24359,24364,365385,326516.0,0.0
26794,26801,401910,365328.0,0.0
29473,29481,442095,403269.0,0.0
32420,32424,486300,445422.0,0.0
35662,35669,570592,515864.0,0.0
39228,39234,627648,564304.0,0.0
43150,43158,690400,622932.0,0.0
47465,47472,759440,683695.0,0.0
52211,52216,835376,762106.0,0.0
57432,57439,918912,845716.0,0.0
63175,63180,1010800,928909.0,0.0
69492,69498,1181364,1077431.0,0.0
76441,76450,1299497,1177216.0,0.0
84085,84094,1429445,1299693.0,0.0
92493,92501,1572381,1425080.0,0.0
101742,101748,1729614,1590164.0,0.0
111916,111922,1902572,1745749.0,0.0
123107,123115,2092819,1936064.0,0.0
135417,135427,2437506,2247676.0,0.0
148958,148965,2681244,2452207.0,0.0
163853,163866,2949354,2707824.0,0.0
180238,180249,3244284,2965858.0,0.0
198261,198270,3568698,3309215.0,0.0
218087,218093,3925566,3620788.0,0.0
239895,239903,4318110,4001291.0,0.0
263884,263894,5013796,4667488.0,0.0
290272,290277,5515168,5059694.0,0.0
319299,319307,6066681,5540398.0,0.0
351228,351232,6673332,6108623.0,0.0
386350,386357,7340650,6724539.0,0.0
424985,424994,8074715,7473858.0,0.0
467483,467493,8882177,8272308.0,0.0
514231,514237,9770389,9113463.0,0.0
565654,565665,11313080,10462939.0,0.0
622219,622227,12444380,11429520.0,0.0
684440,684448,13688800,12602928.0,0.0
752884,752889,15057680,13844016.0,0.0
828172,828182,16563440,15421828.0,0.0
910989,910997,18219780,16939462.0,0.0
1002087,1002095,20041740,18749485.0,0.0
